acc,avespotlen,num_chunks,gbases,chunk_size,chunk
SRR18067350,246,20,59.049,12195122,5
SRR371318,300,16,46.232,10000000,5
SRR7152676,302,12,33.171,9933775,9
SRR3195483,300,32,95.33500000000001,10000000,8
SRR12113383,302,31,92.664,9933775,24
ERR7747426,286,14,40.56,10489511,1
SRR18067417,244,32,93.35600000000001,12295082,26
SRR3990172,300,16,45.951,10000000,16
SRR9648404,302,17,50.243,9933775,12
SRR30952576,302,45,134.221,9933775,17
SRR12605076,302,21,60.547000000000004,9933775,10
SRR15648689,300,40,118.18,10000000,34
SRR13308538,299,12,33.871,10033445,4
SRR19604652,302,18,53.274,9933775,4
SRR10051510,300,12,33.159,10000000,12
SRR12113435,302,51,152.717,9933775,23
SRR24705675,292,20,58.098,10273973,19
SRR12640498,296,12,34.811,10135136,5
SRR22387805,302,11,31.427,9933775,4
SRR19010594,300,27,78.179,10000000,8
ERR3431202,149,30,89.997,20134229,14
ERR3761218,300,25,73.328,10000000,6
SRR15182417,300,32,94.272,10000000,14
SRR10168434,500,19,55.149,6000000,13
SRR15172290,231,18,51.284,12987013,2
ERR868459,196,12,33.509,15306123,7
SRR7010049,302,21,61.96,9933775,4
SRR14699982,298,42,123.232,10067115,1
SRR26940905,277,37,110.411,10830325,34
SRR26717996,302,15,44.795,9933775,13
SRR31641004,300,31,90.958,10000000,20
SRR6788424,300,56,166.047,10000000,2
SRR30952561,302,38,113.398,9933775,28
SRR31168923,302,13,37.553,9933775,7
SRR25571419,301,13,38.348,9966778,2
SRR17827861,299,34,101.127,10033445,2
SRR3308881,150,14,40.209,20000000,8
SRR31420721,300,21,60.293,10000000,8
SRR21607482,302,25,73.91,9933775,22
SRR17827814,299,44,130.025,10033445,16
SRR5903330,502,15,43.862,5976096,9
SRR30894615,302,50,147.305,9933775,23
SRR17283851,300,24,70.22200000000001,10000000,3
ERR868378,196,13,36.618,15306123,8
ERR2282092,302,17,48.176,9933775,16
ERR10921467,301,17,50.532000000000004,9966778,12
SRR16643272,200,15,44.485,15000000,6
SRR21610174,300,32,95.155,10000000,4
SRR14763283,212,22,65.277,14150944,1
SRR25490533,300,16,47.931000000000004,10000000,6
ERR10101799,150,33,98.153,20000000,14
SRR30757732,300,21,62.078,10000000,4
SRR29092996,300,27,79.176,10000000,1
SRR17827907,299,38,113.261,10033445,14
ERR12418585,302,16,45.662,9933775,10
SRR8862896,302,35,102.443,9933775,26
SRR23274479,302,37,108.502,9933775,14
SRR28417441,302,28,81.895,9933775,12
SRR26209553,302,16,46.94,9933775,4
ERR10921760,301,20,57.926,9966778,10
ERR9606663,301,18,52.097,9966778,13
SRR5456975,302,19,54.262,9933775,4
SRR3546780,195,23,68.375,15384616,23
SRR22098081,302,31,90.327,9933775,5
SRR9915572,500,11,32.645,6000000,11
SRR32129083,300,13,36.011,10000000,8
SRR24041371,292,14,40.829,10273973,6
SRR28093312,301,28,81.464,9966778,14
SRR495212,300,43,127.265,10000000,29
SRR25400526,300,17,49.704,10000000,17
SRR8439261,302,36,107.173,9933775,21
SRR18067324,263,30,89.038,11406845,8
SRR6266568,302,12,34.199,9933775,8
SRR26511548,302,34,99.44500000000001,9933775,3
SRR30952589,302,45,134.168,9933775,19
ERR10921359,300,15,44.681,10000000,9
SRR30912710,300,13,38.457,10000000,2
SRR21357950,302,18,53.682,9933775,12
SRR26424701,302,21,60.669000000000004,9933775,4
SRR19040528,300,21,60.932,10000000,1
SRR12204848,300,21,60.792,10000000,19
SRR30757715,300,17,50.0,10000000,12
